plant_id,name,gppd_idnr,capacity_mw,fuel_id,commissioning_year,wepp_id,,owner,source,geolocation_source,year_of_capacity_data
1,Kajaki Hydroelectric Power Plant Afghanistan,GEODB0040538,33,6,,1009793,,,GEODB,GEODB,2017
2,Kandahar DOG,WKS0070144,10,11,,,,,Wiki-Solar,Wiki-Solar,
3,Kandahar JOL,WKS0071196,10,11,,,,,Wiki-Solar,Wiki-Solar,
4,Mahipar Hydroelectric Power Plant Afghanistan,GEODB0040541,66,6,,1009795,,,GEODB,GEODB,2017
5,Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534,100,6,,1009797,,,GEODB,GEODB,2017
6,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536,11.55,6,,1009787,,,GEODB,GEODB,2017
7,Northwest Kabul Power Plant Afghanistan,GEODB0040540,42,4,,,,,GEODB,GEODB,2017
8,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,GEODB0040537,6,6,,,,,GEODB,GEODB,2017
9,Sarobi Dam Hydroelectric Power Plant Afghanistan,GEODB0040535,22,6,,1009799,,,GEODB,GEODB,2017
10,Bistrica 1,WRI1002169,27,6,1965,1021225,,,Energy Charter Secretariat,GEODB,
11,Fierza,WRI1002170,500,6,1978,1021231,,,Energy Charter Secretariat,GEODB,
12,Koman,WRI1002171,600,6,1985,1021233,,,Energy Charter Secretariat,GEODB,
13,Lanabregas,WRI1002172,5,6,1951,1021236,,,Energy Charter Secretariat,GEODB,
14,Shkopet,WRI1002173,24,6,1963,1021238,,,Energy Charter Secretariat,GEODB,
15,Ulez,WRI1002174,25,6,1958,1021241,,,Energy Charter Secretariat,GEODB,
16,Vau i Dijes,WRI1002175,250,6,1971,1021242,,,Energy Charter Secretariat,GEODB,
17,Vlora,WRI1002176,98,9,,1021244,,,Energy Charter Secretariat,GEODB,
18,Adrar,WKS0068905,20,11,,,,,Wiki-Solar,Wiki-Solar,
19,Ain Azel,WKS0065285,20,11,,,,,Wiki-Solar,Wiki-Solar,
20,Ain Djasser,WRI1023776,520,4,,1069670,,,Arab Union of Electricity,KTH,
21,Ain Sekhouna,WKS0068919,20,11,,,,,Wiki-Solar,Wiki-Solar,
22,Ain el Ibel I,WKS0068916,20,11,,,,,Wiki-Solar,Wiki-Solar,
23,Ain el Ibel II,WKS0073479,53,11,,,,,Wiki-Solar,Wiki-Solar,
24,Ain el Melh,WKS0068915,20,11,,,,,Wiki-Solar,Wiki-Solar,
25,Algerie Sud-Ouest,WKS0068912,43.5,11,,,,,Wiki-Solar,Wiki-Solar,
26,Annaba,WRI1023795,71,4,2010,1029479,,,Arab Union of Electricity,GEODB,
27,Aoulef,WKS0068908,5,11,,,,,Wiki-Solar,Wiki-Solar,
28,Arbaa,WRI1023777,560,4,2010,1069669,,Sonelgaz,Arab Union of Electricity,GEODB,
29,Bir Rebaa,WKS0072833,10,11,,,,,Wiki-Solar,Wiki-Solar,
30,Boufarik 1,WRI1023792,100,4,1980,1029484,,,Arab Union of Electricity,GEODB,
31,Boufarik 2,WRI1023793,450,4,2016,1029484,,,Arab Union of Electricity,KTH,
32,Boutelilis,WRI1023781,450,4,2016,1099563,,,Arab Union of Electricity,GEODB,
33,,WKS0065282,15,11,,,,,Wiki-Solar,Wiki-Solar,
34,El Kheneg,WKS0068917,60,11,,,,,Wiki-Solar,Wiki-Solar,
35,F'Krina,WRI1023785,292,4,,1057692,,,Arab Union of Electricity,GEODB,
36,HPC Ouargla,WKS0068918,30,11,,,,,Wiki-Solar,Wiki-Solar,
37,Hadjret Ennous,WRI1023768,1200,4,2009,1044377,,Sharikat Kahraba Hadjret En-Nouss,Arab Union of Electricity,GEODB,
38,Hamma 2,WRI1023783,418,4,,1029491,,,Arab Union of Electricity,GEODB,
39,Hassi Messaoud Mobile,WRI1023796,72,4,2013,,,Sonelgaz Production de l'Electricite,Arab Union of Electricity,KTH,
40,Hassi Messoud,WRI1023779,600,4,2015,,,Sonelgaz Production de l'Electricite,Arab Union of Electricity,KTH,
41,Hassi Messoud Nord 2,WRI1023790,200,4,1988,,,Sonelgaz Production de l'Electricite,Arab Union of Electricity,GEODB,
42,Hassi Messoud Ouest,WRI1023799,492,4,,1047638,,Sonelgaz Production de l'Electricite,Arab Union of Electricity,KTH,
43,Hassi R'mel ISCC,WKS0071083,20,11,,,,,Wiki-Solar,Wiki-Solar,
44,Hauts Plateaux Centre,WKS0068911,106.6,11,,,,,Wiki-Solar,Wiki-Solar,
45,Hauts Plateaux Est,WKS0065280,73.8,11,,,,,Wiki-Solar,Wiki-Solar,
46,Ighil Emda,WRI1023798,24,6,1952,1029497,,SAFEAGE,Arab Union of Electricity,GEODB,
47,In Salah,WKS0068914,5,11,,,,,Wiki-Solar,Wiki-Solar,
48,Jijel,WRI1023775,588,4,,1029500,,,Arab Union of Electricity,GEODB,
49,Kahrama IPP,WRI1023784,345,4,,1051834,,,Arab Union of Electricity,GEODB,
50,Koudiet Eddraouch,WRI1023769,1200,4,2013,1046207,,Shariket Karhaba Koudiet Eddraouch SpA (SKD),Arab Union of Electricity,GEODB,
51,Labiodh Sidi Cheikh,WKS0068921,20,11,,,,,Wiki-Solar,Wiki-Solar,
52,Labreg,WRI1023815,396,4,2015,1099562,,,Arab Union of Electricity,KTH,
53,Marsat,WRI1023772,840,4,,1029503,,,Arab Union of Electricity,GEODB,
54,Marsat TG,WRI1023789,184,4,,,,,Arab Union of Electricity,GEODB,
55,Msila 1,WRI1023773,980,4,,1029501,,,Arab Union of Electricity,KTH,
56,,WKS0068920,19.9,11,,,,,Wiki-Solar,Wiki-Solar,
57,Oued El Kebrit,WKS0065281,15,11,,,,,Wiki-Solar,Wiki-Solar,
58,Oued el Ma,WKS0065283,20,11,,,,,Wiki-Solar,Wiki-Solar,
59,Ras Djinet,WRI1023774,672,4,,1029505,,,Arab Union of Electricity,GEODB,
60,Ras el Oued,WKS0065284,20,11,,,,,Wiki-Solar,Wiki-Solar,
61,Ravin Blanc,WRI1023791,73,4,1974,1029506,,,Arab Union of Electricity,GEODB,
62,Reggane,WKS0068907,5,11,,,,,Wiki-Solar,Wiki-Solar,
63,Relizane,WRI1023780,465,4,2010,1069671,,,Arab Union of Electricity,GEODB,
64,SKB IPP,WRI1023778,484,4,2007,,,Sonelgaz Production de l'Electricite,Arab Union of Electricity,GEODB,
65,SKS IPP SNC Lavalin,WRI1023771,815,4,2006,1056561,,Sharikat Kahraba Skikda (SKS - Skikda Power Co.)  SNC-Lavalin,Arab Union of Electricity,GEODB,
66,SPP1 Thermal,WRI1023797,150,4,2011,,,Developed by SPP1  an Abener and New Energy Algeria (NEAL) a joint venture (between Sonatrach Sonelgaz and SIM),Arab Union of Electricity,GEODB,
67,Skikda,WRI1023786,262,4,1975,1029507,,,Arab Union of Electricity,GEODB,
68,Tamanrasset,WKS0068926,13,11,,,,,Wiki-Solar,Wiki-Solar,
69,Terga,WRI1023770,1200,4,2013,1046206,,Shariket Kahraba Terga JSC,Arab Union of Electricity,GEODB,
70,Tiaret,WRI1023782,300,4,,1029509,,,Arab Union of Electricity,GEODB,
71,Tilghemt 1,WRI1023787,200,4,1980,1029510,,,Arab Union of Electricity,KTH,
72,Tilghemt 2,WRI1023788,600,4,2016,,,,Arab Union of Electricity,KTH,
73,Timimoun,WKS0068909,9,11,,,,,Wiki-Solar,Wiki-Solar,
74,Tindouf,WKS0068925,9,11,,,,,Wiki-Solar,Wiki-Solar,
75,,WKS0068922,12,11,,,,,Wiki-Solar,Wiki-Solar,
76,Zaouiet Kounta,WKS0068906,6,11,,,,,Wiki-Solar,Wiki-Solar,
77,Biopio,WRI1023002,22.8,8,,1014555,,,African Development Bank Group,Power Africa,
78,Biopio (hydro),WRI1023001,14.6,6,,1014555,,,African Development Bank Group,Power Africa,
79,Cambambe,WRI1023003,180,6,,,,,African Development Bank Group,Power Africa,
80,Capanda,WRI1023004,520,6,,1014558,,,African Development Bank Group,Power Africa,
81,Cazenga,WRI1023005,132,4,,1014567,,,African Development Bank Group,Power Africa,
82,Huambo,WRI1023006,16.26,8,,,,,African Development Bank Group,Power Africa,
83,Lobito,WRI1023007,20,4,,1014566,,,African Development Bank Group,Power Africa,
84,Luanda Diesel,WRI1023008,58,8,,1104965,,,African Development Bank Group,Power Africa,
85,Luanda Refinery,WRI1023009,18.5,8,,1017037,,,African Development Bank Group,Power Africa,
86,Malongo,WRI1023010,10,8,,,,,African Development Bank Group,Power Africa,
87,Matala,WRI1023011,40,6,,1014569,,,African Development Bank Group,Power Africa,
88,Namibe,WRI1023012,11.68,4,,,,,African Development Bank Group,Power Africa,
89,Rio Luachimo,WRI1023013,16,6,,,,,African Development Bank Group,Power Africa,
90,Xitoto,WRI1023014,11.34,8,,1020267,,,African Development Bank Group,Power Africa,
91,McMurdo Station Generator,WRI1023843,6.6,8,1981,1109648,,,Antarctica Australia,WRI,
92,Ross Island,WRI1022458,1,#N/A,,1084164,,Meridian Energy,Meridian Energy,WRI,
93,AGUA DEL CAJON (AUTOGENERADOR DEL MEM),ARG0000231,479.2,9,1997.4,1011582,,CAPEX SA,,,2015
94,AGUA DEL CAJON (GENERADOR DEL MEM),ARG0000232,192,4,1993.5,1011582,,CAPEX SA,,,2015
95,AGUA DEL TORO,ARG0000210,130,6,1982,1018417,,HIDISA,,,2015
96,ALICURA,ARG0000230,1050,6,1987,1018418,,AES ARGENTINA GENERACION S.A.,,,2015
97,ALMIRANTE BROWN,ARG0000156,25,8,,1048750,,C.T. ALMIRANTE BROWN SA,,,2015
98,ALTO VALLE,ARG0000235,97.5,4,1969,1013744,,CT ALTO VALLE SA,,,2015
99,ALUMINE,ARG0000242,1.904,8,,1086547,,EPEN,,,2015
100,ALVAREZ CONDARCO,ARG0000194,50.7,6,2003,1009855,,CEMPPSA - HIDROCUYO SA,,,2015
101,ARROYITO,ARG0000254,128,6,1977,1018412,,H. EL CHOCON SA,,,2015
102,ATUCHA I,ARG0000029,370,7,1974,1013180,,NASA,,,2015
103,ATUCHA II,ARG0000030,745,7,2014,1101851,,NASA,,,2015
104,BANDERA,ARG0000328,31,8,,,,ENARSA,,,2015
105,BARILOCHE (PUERTO  MORENO),ARG0000266,5.736,8,,,,COOPERATIVA DE ELECTRICIDAD BARILOCHE LTDA,,,2015
106,BENJAMIN REOLIN,ARG0000085,38.4,6,1966,1009859,,EPEC,,,2015
107,BERNARDO  DE IRIGOYEN,ARG0000220,2.096,8,,1048744,,EMSA,,,2015
108,C.T. RUFINO,ARG0000310,31.9,8,,1048879,,ENARSA,,,2015
109,C.T. SAN VICENTE,ARG0000159,27.6,8,,,,ENARSA,,,2015
110,CAA CATI,ARG0000116,1.415,8,,1048633,,DPEC,,,2015
111,CABRA CORRAL,ARG0000275,102,6,1978,1009763,,AES ARGENTINA GENERACION S.A.,,,2015
112,CACHEUTA (NUEVA),ARG0000195,120,6,2002,1046032,,CEMPPSA - HIDROCUYO SA,,,2015
113,CACHI,ARG0000277,1.07,8,,1048816,,AES ARGENTINA GENERACION S.A.,,,2015
114,CAFAYATE,ARG0000278,4.182,8,,1048817,,AES ARGENTINA GENERACION S.A.,,,2015
115,CAPITAL CATAMARCA - PREDIO CHOYA,ARG0000048,5.728,8,,,,ENDESA COSTANERA,,,2015
116,CAPITAL CATAMARCA - PREDIO EX CARCEL,ARG0000049,7.075,8,,,,ENDESA COSTANERA,,,2015
117,CAPITAL CATAMARCA - PREDIO RIPIERA,ARG0000050,4.675,8,,,,ENDESA COSTANERA,,,2015
118,CASA DE PIEDRA,ARG0000183,60,6,1996,1016560,,ENTE CASA DE PIEDRA,,,2015
119,CASSAFFOUSTH,ARG0000086,17.28,6,1953,1048628,,EPEC,,,2015
120,CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA,ARG0000031,620,1,1990,,,PAMPA ENERGIA,,,2015
121,CENTRAL LOMA DE LA LATA SA,ARG0000259,540,4,1999.5,1011927,,PAMPA ENERGIA,,,2015
122,CENTRAL PARQUE INDUSTRIAL LA BANDA,ARG0000319,11.228,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
123,CENTRAL T.GENELBA,ARG0000165,673.6,4,1997.7,1012655,,PETROBRAS ENERGIA,,,2015
124,CENTRAL T.GENELBA PLUS,ARG0000166,164.55,4,,1012655,,PETROBRAS ENERGIA,,,2015
125,CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA),ARG0000311,280,4,2013,1071002,,ENARSA,,,2015
126,CENTRAL TERMICA DE CICLO COMBINADO SALTA,ARG0000274,643,4,1999.4,,,AES - TERMOANDES SA,,,2015
127,,ARG0000287,361,1,1993.3,1025699,,PAMPA ENERGIA,,,2015
128,CENTRAL TERMICA LA BANDA,ARG0000330,32,4,,1009874,,GENERACION LA BANDA S.A. (GRUPO ALBANESI ),,,2015
129,CENTRAL TERMICA PIQUIRENDA SA,ARG0000284,30.44,8,2010,1086320,,EMDERSA GENERACION SALTA SA - PAMPA ENERGIA,,,2015
130,CENTRAL TERMICA REMEDIOS DE ESCALADA,ARG0000155,25,8,,,,AGGREKO ARGENTINA SRL,,,2015
131,CENTRAL TERMOELECTRICA GUILLERMO BROWN,ARG0000042,524,4,,1093946,,TERMOELECTRICA GUILLERMO BROWN,,,2015
132,CENTRAL TERMOELECTRICA MANUEL BELGRANO,ARG0000043,868.2,4,2008.7,1063683,,TERMOELECTRICA MANUEL BELGRANO SA (TMB),,,2015
133,CENTRAL TERMOELECTRICA TIMBUES,ARG0000307,865.14,4,2008.7,,,CENTRAL TERMOELECTRICA JOSE DE SAN MARTIN (TSM),,,2015
134,CH LOS CARACOLES,ARG0000296,121.4,6,2009,1045177,,EPSE - ENERGIA PROVINCIAL SOCIEDAD DEL ESTADO,,,2015
135,CHILECITO,ARG0000185,5,8,,1048507,,INDUSTRIAS JUAN F. SECCO,,,2015
136,CHIMBERA 1,ARG0000295,2,11,,1082831,,ENARSA,,,2015
137,CIPOLLETTI,ARG0000267,5.78,6,1954,1048807,,DPA RIO NEGRO,,,2015
138,COMANDANTE ANDRESITO,ARG0000221,2.372,8,,,,EMSA,,,2015
139,COMODORO RIVADAVIA,ARG0000072,141.02,4,1990,1048464,,CT PATAGONICAS SA,,,2015
140,COMODORO RIVADAVIA - ANTONIO MORAN,ARG0000067,16.56,#N/A,,1029113,,COOPERATIVA,,,2015
141,CORRIENTES,ARG0000117,1.4,8,,,,DPEC,,,2015
142,COSTANERA,ARG0000046,1982.2,1,1983.9,1011870,,ENDESA COSTANERA,,,2015
143,CRUZ DE PIEDRA,ARG0000197,17.94,4,1969,1009866,,CT MENDOZA SA,,,2015
144,CRUZ DEL EJE,ARG0000087,5.052,8,1943,1015802,,EPEC,,,2015
145,CT 13 DE JULIO,ARG0000110,26,4,,1098609,,GECOR  (GENERADORA CORDOBA SA),,,2015
146,CT ALEM,ARG0000217,15,8,,,,AGGREKO ARGENTINA SRL,,,2015
147,CT ALUMINE,ARG0000256,6.3,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
148,CT ARISTOBULO DEL VALLE,ARG0000229,15,8,,1086566,,SOENERGY ARGENTINA SA,,,2015
149,CT ARRECIFES,ARG0000003,20,8,,,,AGGREKO ARGENTINA SRL,,,2015
150,,ARG0000333,19.2,8,,,,SULLAIR ARGENTINA SA,,,2015
151,,ARG0000334,11.5,8,,,,SULLAIR ARGENTINA SA,,,2015
152,CT BARILOCHE,ARG0000273,20,8,,,,SOENERGY ARGENTINA SA,,,2015
153,CT BELL VILLE,ARG0000113,15.62,8,,1086321,,SULLAIR ARGENTINA SA,,,2015
154,CT BRAGADO,ARG0000023,49.8,4,,1082826,,GENNEIA SA,,,2015
155,CT CAPITAN SARMIENTO,ARG0000028,5,8,,1086536,,INDUSTRIAS JUAN F. SECCO,,,2015
156,CT CATAMARCA,ARG0000054,19.2,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
157,CT CAVIAHUE,ARG0000257,5,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
158,CT CERES,ARG0000314,18,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
159,CT CHARATA,ARG0000065,19.4,8,,1086564,,SULLAIR ARGENTINA SA,,,2015
160,CT CHILECITO,ARG0000189,10,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
161,CT CIPOLLETTI,ARG0000260,5,8,,,,AGGREKO ARGENTINA SRL,,,2015
162,CT COLON BUENOS AIRES,ARG0000039,15.3,8,,1048509,,SULLAIR ARGENTINA SA,,,2015
163,CT CONCEPCION DEL URUGUAY,ARG0000147,41.78,4,,1086330,,GENNEIA SA,,,2015
164,CT CORRIENTES,ARG0000114,20,8,,1009865,,AGGREKO ARGENTINA SRL,,,2015
165,CT ECOENERGIA (PETROBRAS),ARG0000032,13.2,1,,,,PETROBRAS ARGENTINA S.A.,,,2015
166,CT ENSENADA DE BARRAGAN,ARG0000160,567,4,,1071001,,ENARSA,,,2015
167,CT ESQUINA,ARG0000139,16.5,8,,,,SOENERGY ARGENTINA SA,,,2015
168,CT FORMOSA II,ARG0000149,30,8,,,,APR ENERGY SRL,,,2015
169,CT GENERAL VILLEGAS,ARG0000004,23.49,8,,1048533,,AGGREKO ARGENTINA SRL,,,2015
170,CT GOYA,ARG0000138,13,8,,1009872,,INDUSTRIAS JUAN F. SECCO,,,2015
171,CT INDEPENDENCIA,ARG0000336,120,4,1995,1009873,,GENERACION INDEPENDENCIA SA,,,2015
172,CT INGENIERO JUAREZ,ARG0000152,4,8,,1048657,,INDUSTRIAS JUAN F. SECCO,,,2015
173,CT INTA CATAMARCA,ARG0000055,7.04,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
174,CT ISLA VERDE,ARG0000083,24.5,8,,,,AGGREKO ARGENTINA SRL,,,2015
175,CT JUAN JOSE CASTELLI,ARG0000059,15,8,,,,AGGREKO ARGENTINA SRL,,,2015
176,CT JUNIN,ARG0000035,22,8,,1086537,,SOENERGY ARGENTINA SA,,,2015
177,CT LA PLATA,ARG0000040,40.4,8,,,,SULLAIR ARGENTINA SA,,,2015
178,CT LA RIOJA DELIVERY,ARG0000190,19.2,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
179,CT LA RIOJA SUR,ARG0000191,10,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
180,CT LAGUNA BLANCA,ARG0000153,7,8,,1086540,,INDUSTRIAS JUAN F. SECCO,,,2015
181,CT LAS ARMAS,ARG0000024,10.4,4,,1086328,,GENNEIA SA,,,2015
182,CT LAS ARMAS II,ARG0000025,23.37,4,,,,GENNEIA SA,,,2015
183,CT LAS PALMAS,ARG0000066,6,8,,,,TURBODISEL SA,,,2015
184,CT LIBERTADOR GENERAL SAN MARTIN,ARG0000170,15,8,,,,SULLAIR ARGENTINA SA,,,2015
185,CT LINCOLN,ARG0000036,15.002,8,,,,SOENERGY ARGENTINA SA,,,2015
186,CT LOBOS,ARG0000041,15.686,8,,,,SULLAIR ARGENTINA SA,,,2015
187,CT MAGDALENA,ARG0000005,25,8,,,,APR ENERGY SRL,,,2015
188,CT MATHEU,ARG0000163,41,4,,1086326,,GENNEIA SA,,,2015
189,CT MEDANITOS (RINCON DE LOS SAUCES),ARG0000258,32,8,,,,MEDANITO SA,,,2015
190,CT MIRAMAR I,ARG0000022,20,8,,,,ENERGYST RENTAL SOLUTIONS ARGENTINA SA,,,2015
191,CT OLAVARRIA,ARG0000026,38.8,4,,1086327,,GENNEIA SA,,,2015
192,CT ORAN,ARG0000286,15,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
193,CT PARANA,ARG0000148,40,4,,1086329,,GENNEIA SA,,,2015
194,CT PARQUE INDUSTRIAL CATAMARCA,ARG0000056,15,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
195,CT PASO DE LA PATRIA,ARG0000141,7.2,8,,1086541,,TURBODISEL SA,,,2015
196,CT PEHUAJO,ARG0000037,22.4,8,,1013697,,SOENERGY ARGENTINA SA,,,2015
197,CT PINAMAR,ARG0000027,21,4,,1086325,,GENNEIA SA,,,2015
198,CT PIRANE,ARG0000154,16.25,8,,1086543,,SULLAIR ARGENTINA SA,,,2015
199,CT PLUSPETROL NORTE,ARG0000337,246,4,2002.5,1056628,,,,,2015
200,CT RAFAELA,ARG0000315,19.2,8,,1086561,,INDUSTRIAS JUAN F. SECCO,,,2015
201,CT REALICO,ARG0000184,24,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
202,CT ROCA,ARG0000262,130,4,1995,,,CENTRAL TERMICA ROCA S.A.- ALBANESI S.A,,,2015
203,,ARG0000062,20,8,,,,APR ENERGY SRL,,,2015
204,,ARG0000060,15,8,,,,AGGREKO ARGENTINA SRL,,,2015
205,CT SALTO,ARG0000038,22.5,8,,,,SOENERGY ARGENTINA SA,,,2015
206,CT SAN MARTIN NORTE III,ARG0000161,5.1,8,,,,ENARSA,,,2015
207,CT SAN MIGUEL DE TUCUMAN,ARG0000341,396.62,4,1999.5,1009896,,YPF ENERGIA ELECTRICA S.A.,,,2015
208,CT SAN MIGUEL NORTE III,ARG0000162,11.5,8,,,,ENARSA,,,2015
209,CT SANTA ROSA,ARG0000142,6,8,,,,TURBODISEL SA,,,2015
210,CT TARTAGAL,ARG0000288,10,8,,,,SOENERGY ARGENTINA SA,,,2015
211,CT TEREVINTOS,ARG0000057,8,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
212,CT TINOGASTA,ARG0000058,15,8,,1048556,,SULLAIR ARGENTINA SA,,,2015
213,CT TUCUMAN,ARG0000342,438,4,1998.3,1011930,,YPF ENERGIA ELECTRICA S.A.,,,2015
214,CT VENADO TUERTO,ARG0000316,19.2,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
215,CT VIALE,ARG0000143,10,8,,,,AGGREKO ARGENTINA SRL,,,2015
216,CT VILLA ANGELA,ARG0000061,15,8,,,,AGGREKO ARGENTINA SRL,,,2015
217,CT VILLA REGINA,ARG0000261,5,8,,1086545,,AGGREKO ARGENTINA SRL,,,2015
218,CUESTA DEL VIENTO,ARG0000297,10.55,6,1997,1062221,,EPSE - ENERGIA PROVINCIAL SOCIEDAD DEL ESTADO,,,2015
219,Cafayate,WKS0071212,80,11,,,,,Wiki-Solar,Wiki-Solar,
220,Caldenes del Oeste,WKS0072494,30,11,,,,,Wiki-Solar,Wiki-Solar,
221,Cauchari,WKS0068701,300,11,,,,,Wiki-Solar,Wiki-Solar,
222,DEAN FUNES,ARG0000088,70.12,4,1967,1015803,,EPEC,,,2015
223,DIQUE,ARG0000157,68.44,4,1969,1028467,,CENTRAL DIQUE SA,,,2015
224,DOCK SUD,ARG0000158,872.3,4,1999.1,1011872,,CT DOCK SUD SA,,,2015
225,EL CADILLAL,ARG0000338,14,6,1966,1043036,,H. TUCUMAN SA,,,2015
226,EL CARRIZAL,ARG0000196,17,6,1971,1013689,,CEMPPSA - HIDROCUYO SA,,,2015
227,EL CHOCON,ARG0000255,1200,6,1975.5,1018413,,H. EL CHOCON SA,,,2015
228,EL TIGRE,ARG0000211,14.4,6,1989,1018420,,HIDISA,,,2015
229,EL TUNAL,ARG0000276,11,6,1972,1009769,,AES ARGENTINA GENERACION S.A.,,,2015
230,EMBALSE,ARG0000112,648,7,1984,1013181,,NASA,,,2015
231,ESCABA,ARG0000339,24,6,1956,1009867,,H. TUCUMAN SA,,,2015
232,ESQUINA,ARG0000119,2.215,8,,1013701,,DPEC,,,2015
233,EX CENTRAL BUENOS AIRES,ARG0000047,321,4,,,,ENDESA COSTANERA,,,2015
234,FILO MORADO,ARG0000240,67.5,4,,1048486,,CT FILO MORADO,,,2015
235,FITZ SIMON,ARG0000089,10.8,6,1943,1048629,,EPEC,,,2015
236,FLORENTINO AMEGHINO,ARG0000079,60,6,1963,1018421,,H. AMEGHINO SA,,,2015
237,FUTALEUFU,ARG0000080,472,6,1978,1018422,,H. FUTALEUFU SA,,,2015
238,GENERACION FRIAS SA,ARG0000329,60,4,2015,1009869,,,,,2015
239,GENERAL ACHA,ARG0000182,1.8,#N/A,,1062404,,COOPERATIVA,,,2015
240,GENERAL LEVALLE,ARG0000090,72.78,4,,1015804,,EPEC,,,2015
241,GENERAL SAN MARTIN,ARG0000208,6,6,1950,1015897,,GEMSA - HIDROCUYO SA,,,2015
242,GOYA,ARG0000121,1.33,8,,1009872,,DPEC,,,2015
243,GOYA (ELECTROPATAGONIA SA),ARG0000137,17.3,4,,1009872,,ELECTROPATAGONIA SA,,,2015
244,GUILLERMO CESPEDES,ARG0000269,5.2,6,1963,1048809,,DPA RIO NEGRO,,,2015
245,H. PICHI PICUN LEUFU,ARG0000272,285,6,1999,1018424,,PETROBRAS ENERGIA,,,2015
246,ISLA VERDE,ARG0000091,3.115,8,,1086534,,EPEC,,,2015
247,ITA IBATE,ARG0000123,1.052,8,,1048638,,DPEC,,,2015
248,ITUZAINGO,ARG0000124,1.33,8,,1048639,,DPEC,,,2015
249,,WKS0072502,80,11,,,,,Wiki-Solar,Wiki-Solar,
250,JULIAN  ROMERO,ARG0000270,6.2,6,,1048810,,DPA RIO NEGRO,,,2015
251,LA CRUZ,ARG0000125,1.33,8,,1013702,,DPEC,,,2015
252,LA PLATA COGENERACION,ARG0000164,128,4,1997,1012901,,LA PLATA COGENERACION,,,2015
253,LA RIOJA,ARG0000188,42,8,,1086539,,GENERACION RIOJANA SA,,,2015
254,LA TABLADA,ARG0000222,22.15,4,1969,1014552,,EMSA,,,2015
255,,ARG0000094,16,6,1958,,,EPEC,,,2015
256,LAS MADERAS,ARG0000169,30,6,,1034444,,HIDROELECTRICA LAS MADERAS,,,2015
257,LOS CORONELES (EX 25  DE MAYO),ARG0000209,6.6,6,1970,,,GEMSA - HIDROCUYO SA,,,2015
258,LOS MOLINOS I,ARG0000096,59.04,6,1957,1009876,,EPEC,,,2015
259,LOS MOLINOS II,ARG0000097,4.5,6,1958,1050833,,EPEC,,,2015
260,LOS QUIROGA,ARG0000331,2.5,6,1963,1009877,,H. RIO HONDO SA,,,2015
261,LOS REYUNOS,ARG0000212,224,6,1983,1018423,,HIDISA,,,2015
262,LUJAN DE CUYO,ARG0000198,549.76,4,1988.1,,,CT MENDOZA SA,,,2015
263,MAR DE AJO,ARG0000006,34,4,,1011951,,CENTRALES DE LA COSTA ATLANTICA SA,,,2015
264,MAR DEL PLATA (9 DE JULIO),ARG0000007,201.3,4,,1011950,,CENTRALES DE LA COSTA ATLANTICA SA,,,2015
265,MAYOR BURATOVICH,ARG0000015,2.02,#N/A,,1040106,,COOPERATIVAS,,,2015
266,MBURUCUYA,ARG0000128,1.035,8,,1048642,,DPEC,,,2015
267,MERCEDES,ARG0000129,2.308,8,,1048645,,DPEC,,,2015
268,MODESTO MARANZANA,ARG0000111,250,4,2003.2,1050708,,GENERACION MEDITERRANEA SA,,,2015
269,NECOCHEA,ARG0000008,206,1,1968.6,1011952,,CENTRALES DE LA COSTA ATLANTICA SA,,,2015
270,NIHUIL I,ARG0000214,74.24,6,1957,1018404,,HINISA,,,2015
271,NIHUIL II,ARG0000215,133.12,6,1968,1018405,,HINISA,,,2015
272,NIHUIL III,ARG0000216,52,6,1972,1018406,,HINISA,,,2015
273,NIHUIL IV,ARG0000213,22.4,6,1965,1062405,,HIDRONIHUIL SA - LIHUEN SA,,,2015
274,NUEVA ESPERANZA,ARG0000323,3.38,8,,,,INDUSTRIAS JUAN F. SECCO,,,2015
275,NUEVO PUERTO,ARG0000044,1217.7,4,1988,,,CT PUERTO SA,,,2015
276,OBERA (TG Nº21 FIAT ),ARG0000223,17.2,4,,1048752,,EMSA,,,2015
277,ORENSE,ARG0000016,1.72,8,,1048515,,COOPERATIVAS,,,2015
278,PARANA,ARG0000001,845.26,9,2001,1037928,,AES ARGENTINA GENERACION S.A.,,,2015
